timestampNs,ax,ay,az,gx,gy,gz,speedMps
0,-3.700344,-2.561423,-0.566937,0.535206,-0.070999,0.248616,27.638889
100005836,-0.787413,-5.042045,-0.709054,-0.443060,-0.072726,-0.326779,27.731111
200011672,-6.938090,3.546820,0.020919,0.227009,0.121616,0.211230,27.724983
300017509,-1.008186,-3.332660,0.842586,-0.644224,0.016559,-0.414174,27.581131
400023345,-2.409449,-5.288789,-0.591610,0.036369,0.095724,0.018273,27.696112
500029181,3.868755,-3.630667,-0.117457,0.756624,0.025030,0.312666,27.698879
600035018,-6.329888,1.428084,-0.984140,-0.599331,0.095360,-0.215244,27.663906
700040854,0.833896,-4.468951,-0.218116,0.184460,-0.074128,-0.003023,27.713057
800046690,-2.622093,-3.262748,-0.095164,-0.503241,0.008933,-0.321974,27.716924
900052527,-0.578070,-0.974298,-0.932961,-0.196524,0.020592,-0.082432,27.673113
1000058363,-2.715991,-3.356101,0.267063,-0.379452,-0.021714,-0.131329,27.783050
1100064199,1.221353,-1.136027,0.016699,-0.046979,-0.041030,-0.164036,27.773036
1200070036,-0.538659,-1.517480,-0.391696,-0.298488,0.092723,0.091285,27.743052
1300075872,1.644309,-4.220941,0.009840,-0.118324,0.011760,-0.200507,27.738072
1400081708,-2.033940,-0.183444,-0.289328,-0.495898,-0.019355,-0.307008,27.760025
1500087545,-5.481599,0.138426,-0.751239,0.348258,-0.018722,0.188390,27.789950
1600093381,-2.913622,-0.966675,-0.527576,-0.108090,0.084689,-0.021591,27.732992
1700099217,-1.048741,-2.401083,0.093240,0.114448,0.032924,-0.006632,27.664995
1800105054,2.100777,-2.836616,0.107255,0.184799,-0.166974,-0.020532,27.659993
1900110890,-2.329883,-4.279241,-0.531210,-0.058812,0.190988,0.130116,27.652984
2000116726,-1.284337,-4.107974,0.864540,-0.018464,-0.086065,-0.120485,27.588883
2100122563,-2.364595,-2.668232,-1.014212,-0.041698,-0.023004,-0.049695,27.583763
2200128399,-2.381411,-3.762602,2.313845,-0.034640,0.013701,0.118006,27.481062
2300134236,-1.947685,-3.330294,0.845836,0.129968,0.038951,0.123100,27.442917
2400140072,0.852013,-1.877016,-1.156910,0.029424,0.090660,-0.027807,27.339934
2500145908,1.668644,-3.977790,-0.359110,-0.128432,-0.015646,-0.031611,27.293038
2600151745,0.718094,-2.795468,-0.735834,0.250893,0.069022,0.099923,27.280912
2700157581,-4.465450,-1.785225,0.958280,0.185491,0.052083,0.046129,27.149987
2800163417,-3.352156,-1.086184,0.235030,0.365159,0.074183,0.188662,27.141776
2900169254,-6.864397,-1.131934,0.597163,-0.052984,0.226357,-0.022719,27.038923
3000175090,-1.617664,-4.275527,0.138051,-0.052070,-0.038723,-0.088756,27.058665
3100180926,0.099539,-4.611595,-0.260619,-0.410772,0.030055,-0.194018,26.931031
3200186763,-1.425221,-6.104777,0.325541,-0.010146,-0.059064,-0.031127,26.886752
3300192599,1.168658,-5.392624,-0.247916,0.524890,0.025041,0.274135,26.783471
3400198435,-1.739735,-0.815064,-0.752793,-0.050247,0.118419,-0.025916,26.566845
3500204272,-2.932917,-3.285453,1.169815,-0.064485,0.137352,0.018071,26.516412
3600210108,-0.976472,-1.923718,-1.699540,-0.143862,-0.098983,-0.091523,26.255731
3700215944,-3.701829,-1.708686,1.412740,-0.327100,-0.083969,-0.244507,26.074842
3800221781,-5.060040,-3.723331,-0.537208,-0.082074,-0.116789,0.001618,26.001583
3900227617,-1.575364,-5.205345,-0.118491,-0.528435,0.064499,-0.260381,25.838530
4000233453,-5.945523,-3.828975,-1.464900,-0.416023,-0.062223,-0.244910,25.680943
4100239290,-0.536391,-2.084033,-0.408751,-0.080549,-0.200387,-0.159376,25.608616
4200245126,-1.554809,-2.750866,0.390394,-0.049576,-0.267860,-0.025207,25.494502
4300250962,-1.521609,-1.908427,2.066601,0.015424,0.045848,-0.069360,25.291659
4400256799,-2.560434,-3.458753,1.025067,0.059799,0.020293,0.041197,25.177817
4500262635,-2.272848,-3.719104,-1.049553,-0.264357,-0.031284,-0.192245,25.084524
4600268472,-3.937588,-2.085581,0.092357,0.585277,0.110293,0.211011,24.903741
4700274308,1.159251,-5.901449,-1.199579,0.372690,-0.042201,0.284226,24.848283
4800280144,-5.820047,0.211068,-0.060797,0.605179,-0.042936,0.253590,24.627719
4900285981,-1.193067,-6.029034,-1.311345,0.626857,0.144973,0.315445,24.507535
5000291817,-2.703125,-4.371736,1.001409,0.302806,0.125617,0.499655,24.325801
5100297653,1.470060,-4.331423,0.479334,0.846511,-0.060838,0.105905,24.219533
5200303490,-1.371544,-3.575858,0.143685,-0.078770,0.012452,-0.133924,24.062470
5300309326,-2.281629,-4.663544,1.429813,0.373546,-0.059716,0.251779,23.869573
5400315162,-4.471001,-4.766198,-0.513046,-0.439230,0.095539,-0.241310,23.731220
5500320999,-5.915184,-0.414234,0.761841,0.008070,-0.067387,0.043617,23.501244
5600326835,-0.028163,-5.029844,-1.808910,-0.802597,-0.190515,-0.355732,23.283382
5700332671,-0.598136,-2.209507,0.921098,-0.675189,-0.011048,-0.421178,23.128084
5800338508,4.213301,-4.185950,-0.319428,-0.909217,-0.133878,-0.379143,22.886379
5900344344,-0.808972,-6.419616,-0.362978,-0.729781,0.124659,-0.385581,22.719070
6000350180,-2.269192,-1.738429,0.371773,-0.483706,0.052728,0.125840,22.449142
6100356017,-7.960357,0.164163,-1.061601,-0.472755,0.217694,-0.488912,22.204274
6200361853,-0.816995,-1.048267,0.014335,-0.041796,-0.009666,0.265329,22.000087
6300367689,-1.752199,-5.002428,0.809434,-0.586181,0.056547,-0.275425,21.717364
6400373526,-1.596741,-5.452380,1.792338,-0.140322,-0.108951,0.128463,21.529193
6500379362,-1.599077,-3.595917,-0.417540,-0.580149,0.011586,-0.015026,21.312865
6600385199,2.796690,-0.071620,-0.399617,-0.055672,0.055526,-0.018388,21.042526
6700391035,-3.334476,-4.196743,1.065457,-0.544631,-0.174538,-0.089081,20.689062
6800396871,-5.850199,-0.039154,-0.400264,-0.567184,0.066034,-0.285124,20.449103
6900402708,0.261773,-4.747914,-0.224394,-0.605901,-0.068254,-0.236531,20.222536
7000408544,-8.485486,-2.207582,0.093442,-0.564473,-0.100224,-0.215835,19.886976
7100414380,-0.160955,-4.072772,0.300788,-0.342172,-0.076920,-0.118083,19.622762
7200420217,-8.594102,-2.610934,-0.478866,0.692714,-0.034682,0.359254,19.350167
7300426053,2.656694,-2.210679,0.326522,-0.091039,0.023205,0.081496,18.928600
7400431889,-6.622946,-3.223710,-0.025140,-0.538449,-0.017840,-0.267573,18.859578
7500437726,0.169152,-5.037730,0.057373,0.105531,-0.033893,0.156905,18.504596
7600443562,-4.895944,-3.671769,-0.138595,0.323729,-0.018878,0.157106,18.159388
7700449398,0.767071,-4.299270,0.318455,0.297332,0.009994,0.256552,18.019936
7800455235,-2.791576,-3.636680,0.256028,0.116577,0.044424,0.148323,17.574877
7900461071,-4.184931,-3.062865,0.127256,0.332737,-0.001979,0.196947,17.546211
8000466907,-0.608387,-4.596155,-0.318086,0.003552,-0.052421,0.026097,17.148140
8100472744,-2.346819,-3.299610,0.026186,0.229630,-0.014092,0.109779,17.164513
