Time Since Start of Day (seconds),Velocity (km/hr),Latitude (degrees),Longitude (degrees)
32869.546,18.0,12.0,77.0
32869.646,18.0072,12.000004498404424,77.0000000045989
32869.746,18.0144,12.00000899860074,77.00000001380039
32869.846000000005,18.021600000000003,12.000013500584439,77.00000002760811
32869.946,18.0288,12.000018004351011,77.00000004602573
32870.046,18.036,12.000022509895937,77.00000006905694
32870.146,18.0432,12.000027017214693,77.00000009670536
32870.246,18.0504,12.00003152630275,77.00000012897465
32870.346000000005,18.0576,12.000036037155574,77.00000016586846
32870.446,18.064799999999998,12.000040549768626,77.00000020739043
32870.546,18.072,12.00004506413736,77.00000025354419
32870.646,18.0792,12.000049580257226,77.00000030433338
32870.746,18.0864,12.000054098123668,77.00000035976161
32870.846000000005,18.0936,12.000058617732126,77.00000041983253
32870.946,18.1008,12.000063139078032,77.00000048454974
32871.046,18.108,12.000067662156816,77.00000055391685
32871.146,18.1152,12.0000721869639,77.00000062793747
32871.246,18.1224,12.000076713494702,77.0000007066152
32871.346000000005,18.1296,12.000081241744633,77.00000078995365
32871.446,18.1368,12.000085771709102,77.00000087795641
32871.546,18.144000000000002,12.00009030338351,77.00000097062706
32871.646,18.1512,12.000094836763253,77.00000106796918
32871.746,18.1584,12.000099371843723,77.00000116998638
32871.846000000005,18.1656,12.000103908620304,77.0000012766822
32871.946,18.172800000000002,12.000108447088378,77.00000138806023
32872.046,18.18,12.00011298724332,77.00000150412403
32872.146,18.1872,12.0001175290805,77.00000162487716
32872.246,18.1944,12.000122072595282,77.00000175032318
32872.346000000005,18.2016,12.000126617783025,77.00000188046562
32872.446,18.2088,12.000131164639084,77.00000201530806
32872.546,18.215999999999998,12.000135713158809,77.00000215485402
32872.646,18.223200000000002,12.000140263337542,77.00000229910702
32872.746,18.2304,12.000144815170621,77.00000244807065
32872.846000000005,18.2376,12.00014936865338,77.00000260174836
32872.946,18.244799999999998,12.000153923781145,77.00000276014373
32873.046,18.252000000000002,12.000158480549242,77.00000292326027
32873.146,18.2592,12.000163038952985,77.00000309110146
32873.246,18.2664,12.000167598987689,77.00000326367083
32873.346000000005,18.2736,12.000172160648658,77.0000034409719
32873.446,18.280800000000003,12.000176723931196,77.00000362300813
32873.546,18.288,12.000181288830598,77.00000380978302
32873.646,18.2952,12.000185855342156,77.00000400130008
32873.746,18.3024,12.000190423461158,77.00000419756279
32873.846000000005,18.309600000000003,12.000194993182879,77.0000043985746
32873.946,18.3168,12.000199564502601,77.00000460433903
32874.046,18.324,12.00020413741559,77.00000481485951
32874.146,18.3312,12.000208711917114,77.0000050301395
32874.246,18.3384,12.000213288002433,77.00000525018248
32874.346000000005,18.3456,12.0002178656668,77.00000547499191
32874.446,18.3528,12.000222444905466,77.00000570457122
32874.546,18.36,12.000227025713675,77.00000593892385
32874.646,18.3672,12.000231608086667,77.00000617805325
32874.746,18.3744,12.000236192019676,77.00000642196287
32874.846000000005,18.3816,12.000240777507932,77.00000667065609
32874.946,18.3888,12.000245364546656,77.00000692413639
32875.046,18.396,12.00024995313107,77.00000718240715
32875.146,18.403200000000002,12.000254543256386,77.0000074454718
32875.246,18.4104,12.000259134917814,77.00000771333374
32875.346000000005,18.4176,12.000263728110555,77.00000798599639
32875.446,18.4248,12.000268322829811,77.00000826346313
32875.546,18.432000000000002,12.00027291907077,77.00000854573736
32875.646,18.4392,12.000277516828625,77.00000883282247
32875.746,18.4464,12.000282116098557,77.00000912472186
32875.846000000005,18.4536,12.000286716875744,77.00000942143888
32875.946,18.460800000000003,12.000291319155357,77.00000972297691
32876.046,18.468,12.000295922932565,77.00001002933934
32876.146,18.4752,12.000300528202532,77.00001034052951
32876.246,18.482400000000002,12.000305134960414,77.00001065655078
32876.346000000005,18.4896,12.000309743201361,77.00001097740653
32876.446,18.4968,12.000314352920526,77.00001130310008
32876.546,18.503999999999998,12.000318964113047,77.00001163363478
32876.646,18.511200000000002,12.000323576774063,77.00001196901397
32876.746,18.5184,12.000328190898705,77.00001230924099
32876.846000000005,18.5256,12.0003328064821,77.00001265431915
32876.946,18.532799999999998,12.00033742351937,77.00001300425178
32877.046,18.540000000000003,12.000342042005636,77.00001335904221
32877.146,18.5472,12.000346661936003,77.00001371869375
32877.246,18.5544,12.000351283305584,77.0000140832097
32877.346000000005,18.5616,12.000355906109478,77.00001445259336
32877.446,18.568800000000003,12.000360530342782,77.00001482684803
32877.546,18.576,12.000365156000589,77.00001520597701
32877.646,18.5832,12.000369783077984,77.00001558998358
32877.746,18.5904,12.00037441157005,77.000015978871
32877.846000000005,18.597600000000003,12.000379041471865,77.00001637264259
32877.946,18.6048,12.000383672778497,77.00001677130159
32878.046,18.612000000000002,12.000388305485018,77.00001717485128
32878.146,18.6192,12.000392939586488,77.0000175832949
32878.246,18.6264,12.000397575077962,77.00001799663573
32878.346000000005,18.6336,12.000402211954494,77.00001841487702
32878.446,18.6408,12.00040685021113,77.000018838022
32878.546,18.648,12.000411489842913,77.00001926607392
32878.646,18.6552,12.000416130844878,77.000019699036
32878.746,18.6624,12.00042077321206,77.0000201369115
32878.846000000005,18.6696,12.000425416939484,77.00002057970362
32878.946,18.6768,12.000430062022172,77.00002102741557
32879.046,18.684,12.000434708455142,77.00002148005059
32879.146,18.691200000000002,12.000439356233407,77.00002193761188
32879.246,18.6984,12.000444005351975,77.00002240010262
32879.346000000005,18.7056,12.000448655805846,77.00002286752604
32879.446,18.7128,12.00045330759002,77.00002333988532
32879.546,18.720000000000002,12.000457960699487,77.00002381718365
32879.646,18.7272,12.000462615129237,77.0000242994242
32879.746,18.7344,12.000467270874253,77.00002478661017
32879.846000000005,18.741600000000002,12.00047192792951,77.0000252787447
32879.946,18.748800000000003,12.000476586289986,77.00002577583098
32880.046,18.756,12.000481245950645,77.00002627787217
32880.146,18.7632,12.000485906906452,77.00002678487141
32880.246,18.770400000000002,12.000490569152365,77.00002729683186
32880.346000000005,18.7776,12.000495232683338,77.00002781375667
32880.446,18.7848,12.00049989749432,77.00002833564898
32880.546,18.791999999999998,12.000504563580254,77.0000288625119
32880.646,18.799200000000003,12.000509230936078,77.00002939434859
32880.746,18.8064,12.00051389955673,77.00002993116215
32880.846000000005,18.8136,12.000518569437135,77.0000304729557
32880.946,18.8208,12.000523240572221,77.00003101973238
32881.046,18.828000000000003,12.000527912956905,77.00003157149526
32881.146,18.8352,12.000532586586102,77.00003212824745
32881.246,18.8424,12.000537261454724,77.00003268999207
32881.346000000005,18.8496,12.000541937557674,77.0000332567322
32881.446,18.856800000000003,12.000546614889855,77.0000338284709
32881.546,18.864,12.000551293446161,77.00003440521128
32881.646,18.8712,12.000555973221482,77.00003498695641
32881.746,18.8784,12.000560654210705,77.00003557370934
32881.846000000005,18.885600000000004,12.000565336408712,77.00003616547316
32881.946,18.8928,12.000570019810377,77.0000367622509
32882.046,18.900000000000002,12.000574704410575,77.00003736404564
32882.146,18.9072,12.000579390204171,77.00003797086042
32882.246,18.9144,12.000584077186026,77.00003858269827
32882.346000000005,18.9216,12.000588765350999,77.00003919956222
32882.446,18.9288,12.000593454693943,77.00003982145533
32882.546,18.936,12.000598145209706,77.0000404483806
32882.646,18.9432,12.00060283689313,77.00004108034106
32882.746,18.950400000000002,12.000607529739053,77.00004171733973
32882.846000000005,18.9576,12.00061222374231,77.00004235937959
32882.946,18.9648,12.000616918897729,77.00004300646368
32883.046,18.971999999999998,12.000621615200135,77.00004365859498
32883.146,18.979200000000002,12.000626312644348,77.00004431577649
32883.246,18.9864,12.000631011225181,77.00004497801118
32883.346000000005,18.9936,12.000635710937445,77.00004564530205
32883.446,19.0008,12.000640411775947,77.00004631765206
32883.546,19.008000000000003,12.000645113735485,77.00004699506418
32883.646,19.0152,12.000649816810858,77.0000476775414
32883.746,19.0224,12.000654520996855,77.00004836508664
32883.846000000005,19.0296,12.000659226288263,77.00004905770288
32883.946,19.036800000000003,12.000663932679865,77.00004975539306
32884.046,19.044,12.00066864016644,77.00005045816013
32884.146,19.0512,12.000673348742756,77.00005116600701
