timestampNs,lat,lon
0,0,0
1000000000,8.993216059187306e-05,0
2000000000,0.00017986432118374611,0
3000000000,0.00026979648177561917,0
4000000000,0.00035972864236749223,0
5000000000,0.0004496608029593653,0
6000000000,0.0005395929635512383,0
7000000000,0.0006295251241431114,0
8000000000,0.0007194572847349845,0
9000000000,0.0008093894453268575,0
10000000000,0.0008993216059187306,0
11000000000,0.0008993216059187306,0
12000000000,0.0008993216059187306,0
13000000000,0.0009892537665106035,0
14000000000,0.0010791859271024767,0
15000000000,0.0011691180876943496,0
16000000000,0.0012590502482862228,0
17000000000,0.001348982408878096,0
18000000000,0.001438914569469969,0
19000000000,0.0015288467300618419,0
20000000000,0.001618778890653715,0
21000000000,0.0017087110512455882,0
22000000000,0.0017986432118374611,0
23000000000,0.0017986432118374611,0
